movieCd,movieNm,audiAcc
20184891,수퍼 소닉,87296
20192101,히트맨,2400805
20197390,조조 래빗,80867
20192984,극장판 미니특공대: 공룡왕 디노 ,71671
20180939,남산의 부장들,2604649
20192101,히트맨,1148237
20188421,미스터 주: 사라진 VIP,393857
20183002,해치지않아,1128517
20192300,스파이 지니어스 ,233583
20199581,닥터 두리틀,1573163
20196670,나쁜 녀석들: 포에버,513811
20192206,백두산,8242478
20198676,타오르는 여인의 초상,73377
20184571,천문: 하늘에 묻는다,1990746
20183002,해치지않아,813395
20199581,닥터 두리틀,1454264
20196670,나쁜 녀석들: 포에버,402585
20192206,백두산,8200317
20195462,스타워즈: 라이즈 오브 스카이워커,485464
20184571,천문: 하늘에 묻는다,1968706
20198414,시동,3308844
20196272,미드웨이,941075
20197803,겨울왕국 2,13721190
20198676,타오르는 여인의 초상,33620
20199581,닥터 두리틀,929622
20192206,백두산,7996424
20195462,스타워즈: 라이즈 오브 스카이워커,381509
20184571,천문: 하늘에 묻는다,1886373
20196272,미드웨이,884240
20198414,시동,3251346
20197803,겨울왕국 2,13684648
20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,867161
20192401,포드 V 페라리,1323852
20198430,나이브스 아웃,753091
20192206,백두산,5742654
20198414,시동,2291273
20192721,캣츠,696173
20184571,천문: 하늘에 묻는다,702245
20197803,겨울왕국 2,13265198
20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,620629
20199981,눈의 여왕4,119058
20192401,포드 V 페라리,1177035
20198818,프린스 코기,112330
20198430,나이브스 아웃,642671
20192206,백두산,2459257
